Source,Destination,Area,Weight
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
61,45,29.52,18050.0
